"Product Selector","Product Selector"
"Activate","Activate"
"Display selector block, or not","Display selector block, or not"
"Block title","Block title"
"Hidden if empty","Hidden if empty"
"List page URL key","List page URL key"
"Address for the result page (pre-filtered product list) without .html","Address for the result page (pre-filtered product list) without .html"
"Attribute set ID","Attribute set ID"
"Attribute set to use","Attribute set to use"
"Year: higher is better, max = %s","Year: higher is better, max = %s"
"Price: lower is better, max = 99999999","Price: lower is better, max = 99999999"
"Use in product selector","Use in product selector"
"Type of attribute in selector","Type of attribute in selector"
"Delete filter","Delete filter"
"Search","Search"
"products_term","products"
"corresponding to your research","corresponding to your research"
