"Product Selector","Product Selector"
"Activate","Activé"
"Display selector block, or not","Afficher ou non le bloc"
"Block title","Titre du bloc"
"Hidden if empty","Vide pour cacher"
"List page URL key","Clé d'URL de la page liste"
"Address for the result page (pre-filtered product list) without .html","Adresse de la page de résultats (catégorie pré-filtrée) -- sans .html"
"Attribute set ID","ID du jeu d'attributs"
"Attribute set to use","Jeu d'attributs des produits à afficher"
"Year: higher is better, max = %s","Année : higher is better, max = %s"
"Price: lower is better, max = 99999999","Prix : lower is better, max = 99999999"
"Use in product selector","Utiliser dans le selector"
"Type of attribute in selector","Type de l'attribut dans le sélecteur"
"above","supérieure à"
"Delete filter","Supprimer ce filtre"
"Search","Rechercher"
"products_term","produits"
"corresponding to your research","correspondent à votre recherche"
"Unit (used in selector)","Unité (utilisé dans le product selector)"
